ANNÉE;EDITION RENCONTRES TRANS MUSICALES ;ARTISTES;NOM SPECTACLE OU SOIRÉE;1ER PROJET ATM;1ERE DATE;1ERE SALLE;1ERE VILLE;2EME PROJET;2EME DATE;2EME SALLE;2EME VILLE;3EME PROJET;3EME DATE;3EME SALLE;3EME VILLE;4EME PROJET;4EME DATE;4EME SALLE;4EME VILLE;5EME PROJET;5EME DATE;5EME SALLE;5EME VILLE;6EME PROJET;6EME DATE;6EME SALLE;6EME VILLE;ORIGINES PAYS 1;ORIGINES PAYS 2;ORIGINES PAYS 3;ORIGINES PAYS 4;ORIGINES VILLE 1;ORIGINES VILLE 2;ORIGINES VILLE 3;ORIGINES VILLE 4;ANNEE  DE FORMATION;1ère SORTIE DISCOGRAPHIQUE
1992;14èmes Rencontres Trans Musicales de Rennes;The Last Poets;;;1992-12-04;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;New York City;;;;1968;1970.0
1992;14èmes Rencontres Trans Musicales de Rennes;Tragically Hip;;;1992-12-05;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Canada;;;;Kingston;;;;1983;1987.0
1992;14èmes Rencontres Trans Musicales de Rennes;Why Ted?;;;1992-12-02;Le Satori;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Laval;;;;;1990.0
1990;12èmes Rencontres Trans Musicales de Rennes;Les Coquines;;Bars en Trans;1990-12-09;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Paris;;;;;
1989;11èmes Rencontres Trans Musicales de Rennes;Otis Grand & The Dance Kings;;;1989-12-05;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;Oakland;;;;1963;1988.0
1988;10èmes Rencontres Trans Musicales de Rennes;Cheb Kader;;;1988-12-04;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Maroc;France;;;Paris;;;;1982;1988.0
1988;10èmes Rencontres Trans Musicales de Rennes;Implosion III;Soirée 10ème Anniversaire;;1988-12-01;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;;
1987;9èmes Rencontres Trans Musicales de Rennes;Boys Wonder;;;1987-12-12;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;1987;
1986;8èmes Rencontres Trans Musicales de Rennes;Shop Assistants;;;1986-12-10;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Édimbourg;;;;1984;1985.0
1986;8èmes Rencontres Trans Musicales de Rennes;Splassh !;;;1986-12-11;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;;1983.0
1983;5èmes Rencontres Trans Musicales de Rennes;The Prisoners;;;1983-12-13;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Chatam;;;;1982;1982.0
1982;4èmes Rencontres Trans Musicales de Rennes;Nurse;;;1982-12-15;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Rouen;;;;1979;1980.0
1981;3èmes Rencontres Trans Musicales de Rennes;Inc;;;1981-12-18;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Nice;;;;;1981.0
2017;39èmes Rencontres Trans Musicales de Rennes;Sabrina & Samantha;;;2017-12-08;Parc des Expositions - Green Room;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Paris;;;;2017;
2017;39èmes Rencontres Trans Musicales de Rennes;Swedish Death Candy;;;2017-12-08;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;2014;
2017;39èmes Rencontres Trans Musicales de Rennes;Zeal & Ardor;;;2017-12-09;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;Suisse;;;;Bâle;;;;2014;
2016;38èmes Rencontres Trans Musicales de Rennes;Go Dugong;;;2016-11-30;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;Italie;;;;Milan;;;;2011;
2016;38èmes Rencontres Trans Musicales de Rennes;Ogris Debris;;;2016-12-02;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;Autriche;;;;Vienne;;;;2007;
2015;37èmes Rencontres Trans Musicales de Rennes;Het Universumpje;;Focus Pays-Bas;2015-12-04;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;Pays-Bas;;;;Utrecht;;;;2014;2015.0
2015;37èmes Rencontres Trans Musicales de Rennes;Idiotape;;;2015-12-05;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;Corée du Sud;;;;Séoul;;;;2008;2011.0
2015;37èmes Rencontres Trans Musicales de Rennes;Swaggers;;Danse Hip-Hop;2015-12-04;Le Triangle;Rennes;Danse Hip-Hop;2015-12-05;Le Triangle;Rennes;;;;;;;;;;;;;;;;;France;;;;Johannesbourg;;;;;
2014;36èmes Rencontres Trans Musicales de Rennes;Big Buddha;;;2014-12-06;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;;
2014;36èmes Rencontres Trans Musicales de Rennes;Lizzo;;;2014-12-06;Parc des Expositions - Hall 8;Bruz;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;Houston;;;;2010;2013.0
2014;36èmes Rencontres Trans Musicales de Rennes;Rone;;;2014-12-05;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Paris;;;;2007;2008.0
2014;36èmes Rencontres Trans Musicales de Rennes;Sekuoia;;;2014-12-04;Parc des Expositions - Hall 8;Bruz;;;;;;;;;;;;;;;;;;;;;Danemark;;;;Copenhague;;;;2010;2012.0
2013;35èmes Rencontres Trans Musicales de Rennes;Fyfe;;;2013-12-08;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Manchester;;;;2012 / 2009 sous le nom de David's Lyre / 2007 sous le nom de Paul Dixon;2013.0
2013;35èmes Rencontres Trans Musicales de Rennes;Golden Teacher;;;2013-12-08;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;Ecosse;;;;Glasgow;;;;2012;2013.0
2017;39èmes Rencontres Trans Musicales de Rennes;Altin Gün;;;2017-12-08;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;Pays-Bas;Turquie;;;Amsterdam;Istanbul;;;2016;
2017;39èmes Rencontres Trans Musicales de Rennes;Fabulous Sheep;;;2017-12-07;L'Étage;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Béziers;Montpellier;;;2010;
2018;40èmes Rencontres Trans Musicales de Rennes;Madmadmad;;;2018-12-07;Parc des Expositions - Hall 8;Bruz;;;;;;;;;;;;;;;;;;;;;France;Royaume-Uni;;;Rennes;Nantes;Londres;;2012;
2018;40èmes Rencontres Trans Musicales de Rennes;Johan Papaconstantino;;;2018-12-08;L'Étage;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;2015;
2017;39èmes Rencontres Trans Musicales de Rennes;Krismenn;;;2017-12-07;Parc des Expositions - Hall 8;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Plougastel-Daoulas;Callac;;;2004;
2018;40èmes Rencontres Trans Musicales de Rennes;Ben LaMar Gay;;;2018-12-07;Parc des Expositions - Hall 8;Bruz;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;Chicago;;;;1e moitié des années 2000;
2007;29èmes Rencontres Trans Musicales de Rennes;The Ting Tings;;;2007-12-08;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Salford;;;;2006;2007.0
2006;28èmes Rencontres Trans Musicales de Rennes;DJ Mehdi;;;2006-12-09;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Paris;;;;1992;1997.0
2005;27èmes Rencontres Trans Musicales de Rennes;Engineers;;;2005-12-09;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;;;;;2003;2004.0
2004;26èmes Rencontres Trans Musicales de Rennes;Republic Of Loose;;;2004-12-03;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;;;;;Irlande;;;;Dublin;;;;2001;2004.0
2004;26èmes Rencontres Trans Musicales de Rennes;Otto;;;2004-12-02;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;;;;;Brésil;;;;Pernambuco;;;;1989;1998.0
2004;26èmes Rencontres Trans Musicales de Rennes;Border Crossing;;;2004-12-04;Parc des Expositions - Hall 5;Bruz;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;;2003.0
2005;Trans en Chine;Wang Leï;;Les Trans à l'Export;2005-06-18;Chaoyang Park;Pékin;;;;;;;;;;;;;;;;;;;;;Chine;;;;;;;;;2004.0
2003;Trans à la Réunion;DJ Netik;;Les Trans à l'Export;2003-03-07;Bato Fou;Saint-Pierre de la Réunion;;2003-03-08;Bato Fou;Saint-Pierre de la Réunion;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;1997;2004.0
2002;24èmes Rencontres Trans Musicales de Rennes;Audio Bullys Sound System;;;2002-12-06;Liberté Haut;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;;2002.0
2002;24èmes Rencontres Trans Musicales de Rennes;2 Many Djs;;;2002-12-06;Liberté Bas;Rennes;;;;;;;;;;;;;;;;;;;;;Belgique;;;;;;;;1995;2001 (1995 avec Soulwax)
2007;29èmes Rencontres Trans Musicales de Rennes;French Cowboy;;Tournée des Trans;2007-11-15;L'Olympic;Nantes;Kaléidoscope;2007-11-17;Salle municipale;Louvigné-du-Désert;Tournée des Trans;2007-11-24;Théâtre Max Jacob;Quimper;Kaléidoscope;2007-11-30;L'Omnibus;Saint-Malo;;2007-12-06;Parc des Expositions - Hall 3;Bruz;;;;;France;;;;Nantes;;;;2006;2007.0
2007;29èmes Rencontres Trans Musicales de Rennes;Rafale;;Tournée des Trans;2007-11-02;Le Thy'roir;Ploërmel;Tournée des Trans;2007-11-09;Le Cargö;Caen;Tournée des Trans;2007-11-16;Le Coatelan;Morlaix;;2007-11-22;Ubu;Rennes;;2007-12-07;Parc des Expositions - Hall 4;Bruz;;;;;France;;;;;;;;2006;
2006;28èmes Rencontres Trans Musicales de Rennes;Pat Panik;;Tournée des Trans;2006-11-16;Le Cargö;Caen;;2006-12-08;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;;2004.0
2003;25èmes Rencontres Trans Musicales de Rennes;Suv Follow The Sun Live Project;;;2003-12-04;Liberté Haut;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;Saint Vincent and The Grenadines;;;Bristol;;;;;1995.0
2007;29èmes Rencontres Trans Musicales de Rennes;Florian Mona;;Focus;2007-11-22;Ubu;Rennes;Focus;2007-12-05;Le 4 Bis;Rennes;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;2006;2006.0
2008;30èmes Rencontres Trans Musicales de Rennes;Tribeqa;;Kaléidoscope;2008-11-29;Salle Municipale;Louvigné-du-Désert;Focus;2008-12-04;Le 4 Bis;Rennes;;;;;;;;;;;;;;;;;France;;;;;;;;2002;2008.0
2007;29èmes Rencontres Trans Musicales de Rennes;Candie Payne;;;2007-12-08;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Liverpool;;;;2001;2006.0
2008;30èmes Rencontres Trans Musicales de Rennes;The DeathSet;;;2008-12-04;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;;;;;2005;2006.0
2003;25èmes Rencontres Trans Musicales de Rennes;DJ Adams Roy;;;2003-12-06;Antipode;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;;2000.0
2003;25èmes Rencontres Trans Musicales de Rennes;Big Buddha;;;2003-12-04;Liberté Haut;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Marseille;;;;;
2003;25èmes Rencontres Trans Musicales de Rennes;Deportivo;;;2003-12-06;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;;2003.0
2003;25èmes Rencontres Trans Musicales de Rennes;Sébastien Tellier;;;2003-12-06;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Paris;;;;;1999.0
2011;33èmes Rencontres Trans Musicales de Rennes;Mein Sohn William;;Kaléidoscope;2011-11-10;Théâtre de Poche;Hédé;Tournée des trans;2011-11-24;Le Cargö;Caen;Tournée des Trans;2011-11-25;Le Vip;Saint-Nazaire;;2011-12-03;Ubu;Rennes;;;;;;;;;France;;;;Rennes;;;;2007;2009.0
2011;33èmes Rencontres Trans Musicales de Rennes;Cie Engrenage - I Feel Good;;;2011-12-03;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;;
2010;32èmes Rencontres Trans Musicales de Rennes;AD…;;Tournée des Trans;2010-11-19;L'Excelsior;Allonnes;Tournée des Trans;2010-12-01;Le Chabada;Angers;Tournée des Trans;2010-12-03;La Luciole;Alençon;;2010-12-10;L'Étage;Rennes;;;;;;;;;France;;;;Rennes;;;;2008;2010.0
2011;33èmes Rencontres Trans Musicales de Rennes;St Augustine;;;2011-11-30;L'Aire Libre;Saint-Jacques-de-la-Lande;;2011-12-01;L'Aire Libre;Saint-Jacques-de-la-Lande;;;;;;;;;;;;;;;;;France;;;;Clermont-Ferrand;;;;2005;2008.0
2010;32èmes Rencontres Trans Musicales de Rennes;Lady Jane;;Tournée des Trans;2010-12-01;Le Chabada;Angers;Tournée des Trans;2010-12-04;Le Normandy;Saint-Lô;;2010-12-11;L'Étage;Rennes;;;;;;;;;;;;;France;;;;Rennes;;;;1996;2000.0
2010;32èmes Rencontres Trans Musicales de Rennes;Lena Deluxe;;Focus;2010-12-09;L'Étage;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Lille;;;;2004;2006.0
2010;32èmes Rencontres Trans Musicales de Rennes;Magnetic Man;;;2010-12-09;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;;;;;2007;2007.0
2009;31èmes Rencontres Trans Musicales de Rennes;Groove Control;;Danse Hip-Hop;2009-12-05;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;;
2013;35èmes Rencontres Trans Musicales de Rennes;The Enchanted Wood;;Kaléidoscope;2013-11-08;Théâtre de Poche;Hédé;Kaléidoscope;2013-11-16;Centre Culturel Jovence;Louvigné-du-Désert;Tournée des Trans;2013-11-29;Le Vip;Saint-Nazaire;Tournée des Trans;2013-11-30;Run Ar Puns;Châteaulin;;2013-12-06;L'Étage;Rennes;;;;;France;;;;Rennes;;;;2008;2008.0
2012;34èmes Rencontres Trans Musicales de Rennes;Black Strobe;;;2012-12-08;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Montpellier;;;;1997;1997.0
2012;34èmes Rencontres Trans Musicales de Rennes;Attaque;;;2012-12-08;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Colchester;;;;2011;2011.0
2012;34èmes Rencontres Trans Musicales de Rennes;Barnt;;;2012-12-08;Parc des Expositions - Green Room;Bruz;;;;;;;;;;;;;;;;;;;;;Allemagne;;;;Cologne;;;;2010;2010.0
2012;34èmes Rencontres Trans Musicales de Rennes;Babe;;;2012-12-09;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;France;Royaume-Uni;;;;;;;2010;
2009;Trans en Russie;DJ's Женя Горбунов;;Les Trans à l'Export;2009-11-18;Arena 09 - Miller Advanced Music Room;Moscou;;;;;;;;;;;;;;;;;;;;;Russie;;;;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Nin Petit;;;2012-12-06;Parc des Expositions - Hall 4;Bruz;;2012-12-09;Ubu;Rennes;;;;;;;;;;;;;;;;;Royaume-Uni;Espagne;;;;;;;2006;
2012;34èmes Rencontres Trans Musicales de Rennes;Skip&Die;;;2012-12-08;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;;;;;Afrique du Sud;Pays-Bas;;;;;;;2007;2011.0
2012;34èmes Rencontres Trans Musicales de Rennes;The Struts;;;2012-12-08;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Derby;;;;2009;2012.0
2012;34èmes Rencontres Trans Musicales de Rennes;Red Sunrise;;;2012-12-08;Parc des Expositions - Green Room;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;2005;2011.0
2008;30èmes Rencontres Trans Musicales de Rennes;Minitel Rose;;Tournée des Trans;2008-11-12;Le Cargö;Caen;Tournée des Trans;2008-11-15;Le VIP;Saint-Nazaire;Kaléidoscope;2008-11-21;L'Omnibus;Saint-Malo;Tournée des Trans;2008-11-27;La Passerelle;Saint-Brieuc;;2008-12-04;Parc des Expositions - Hall 4;Bruz;;;;;France;;;;Nantes;;;;2006;2008.0
2008;30èmes Rencontres Trans Musicales de Rennes;Peter Digital Orchestra;;Tournée des Trans;2008-11-22;Le Coatélan;Morlaix;Focus;2008-12-05;Le 4 Bis;Rennes;;;;;;;;;;;;;;;;;France;;;;;;;;2006;2008.0
2008;30èmes Rencontres Trans Musicales de Rennes;Solange la Frange;;;2008-12-05;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;Suisse;;;;;;;;2006;2007.0
2002;Trans au Cargo;Bikini Machine;;Les Trans à l'Export;2002-06-15;Le Cargö;Neufchâtel;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;;2002.0
2001;23èmes Rencontres Trans Musicales de Rennes;Bob Log III;;;2001-12-01;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;;;;;;
1999;21èmes Rencontres Trans Musicales de Rennes;Mac. H;Carte Blanche à Franck II Louise;Danse Hip-Hop;1999-12-03;Le Triangle;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;;
1999;21èmes Rencontres Trans Musicales de Rennes;Jean-Louis Murat;Black Session;;1999-12-01;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;Fin 1970's;1988.0
2000;22èmes Rencontres Trans Musicales de Rennes;B3;;Danse Hip-Hop;2000-12-01;Le Triangle;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Saint-Brieuc;;;;1996;
2000;22èmes Rencontres Trans Musicales de Rennes;Bertrand Burgalat;;;2000-12-02;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Paris;;;;;1997.0
2001;23èmes Rencontres Trans Musicales de Rennes;Soul Of Man;;;2001-12-01;Liberté Bas;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;;;;;;1998.0
1998;20èmes Rencontres Trans Musicales de Rennes;Les Frères Morvan;;;1998-12-04;Liberté Bas;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Botcol;;;;1958;1974.0
1998;20èmes Rencontres Trans Musicales de Rennes;Subsonic Legacy;;;1998-12-04;Liberté Haut;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;;1998.0
2000;22èmes Rencontres Trans Musicales de Rennes;Toups Bebey & Pact;;;2000-12-01;Antipode;Rennes;;;;;;;;;;;;;;;;;;;;;Cameroun;;;;;;;;;1997.0
1999;21èmes Rencontres Trans Musicales de Rennes;Arling & Cameron;;;1999-12-04;Antipode;Rennes;;;;;;;;;;;;;;;;;;;;;Pays-Bas;Allemagne;;;Berlin;;;;1994;1996.0
1999;21èmes Rencontres Trans Musicales de Rennes;Danyel Waro;;;1999-12-03;Liberté Bas;Rennes;;;;;;;;;;;;;;;;;;;;;France (Réunion);;;;Réunion;;;;1975;1995.0
2000;22èmes Rencontres Trans Musicales de Rennes;TTC;;;2000-12-02;Liberté Haut;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Paris;;;;1999;1999.0
1998;20èmes Rencontres Trans Musicales de Rennes;Aïsha Kandisha's Jarring Effects;;Quartiers en Trans;1998-12-03;Maison de Quartier Villejean;Rennes;;;;;;;;;;;;;;;;;;;;;Maroc;;;;;;;;1988;1990.0
1999;21èmes Rencontres Trans Musicales de Rennes;Saïan Supa Crew;;;1999-12-04;Liberté Haut;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;;1999.0
1997;19èmes Rencontres Trans Musicales de Rennes;Les Nouveaux Nés;;Quartiers en Trans;1997-12-05;Maison de Quartier Villejean;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;1997;1999.0
1997;19èmes Rencontres Trans Musicales de Rennes;Kanjar'oc;;;1997-12-03;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Marseille;;;;1989;1996.0
1997;19èmes Rencontres Trans Musicales de Rennes;Tortoise;;;1997-12-06;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;Chicago;;;;1993;1993.0
2001;23èmes Rencontres Trans Musicales de Rennes;Kinky;;;2001-11-30;Liberté Haut;Rennes;;;;;;;;;;;;;;;;;;;;;Mexique;;;;Monterrey;;;;1998;1997.0
2001;23èmes Rencontres Trans Musicales de Rennes;DJ Bobby Hardcore Liberace;;;2001-11-29;Liberté Haut;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;1999;2003.0
2001;23èmes Rencontres Trans Musicales de Rennes;DJ Big Buddha;;;2001-11-28;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;;
1995;17èmes Rencontres Trans Musicales de Rennes;Akabu;15ème Anniversaire On-U-Sound;;1995-12-01;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;;;;;1988;1984.0
1987;9èmes Rencontres Trans Musicales de Rennes;Ivamain;;Apéro'Trans;1987-12-11;Le Chatham;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;;
1990;12èmes Rencontres Trans Musicales de Rennes;Les Tétines Noires;;Bars en Trans;1990-12-06;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Réville;;;;1985;1990.0
1990;12èmes Rencontres Trans Musicales de Rennes;Luka Bloom;;Bars en Trans;1990-12-07;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Irlande;;;;Newbridge;;;;;1988.0
1990;12èmes Rencontres Trans Musicales de Rennes;Screaming Target;;;1990-12-09;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;;1990.0
1991;13èmes Rencontres Trans Musicales de Rennes;Justice;;;1991-12-06;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;;
1992;14èmes Rencontres Trans Musicales de Rennes;Mad Mike;;;1992-12-05;Salle Omnisports;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;Detroit;;;;1989;1992.0
1992;14èmes Rencontres Trans Musicales de Rennes;Bootsauce;;;1992-12-02;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Canada;;;;Montréal;;;;1989;1990.0
1986;8èmes Rencontres Trans Musicales de Rennes;Elli Medeiros;Daho en concert avec ses amis;;1986-12-09;Salle Omnisports;Rennes;;;;;;;;;;;;;;;;;;;;;Uruguay;France;;;Paris;;;;1976;1977.0
1993;15èmes Rencontres Trans Musicales de Rennes;Malik;Rave Ô Trans II;Quartiers en Trans;1993-12-01;Maison de Quartier Maurepas;Rennes;Quartiers en Trans;1993-12-02;Villejean;Rennes;;1993-12-03;Maison de Quartier Le Blosne;Rennes;;;;;;;;;;;;;France;;;;Paris;;;;1988;1988.0
1993;15èmes Rencontres Trans Musicales de Rennes;Didier Sinclair;Rave Ô Trans II;;1993-12-02;L'Espace;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Montpellier;;;;1982;1999.0
1995;17èmes Rencontres Trans Musicales de Rennes;Renegade Soundwave;;;1995-11-30;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;1986;1986.0
1995;17èmes Rencontres Trans Musicales de Rennes;Spain;;;1995-11-30;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;Los Angeles;;;;1993;1995.0
1994;16èmes Rencontres Trans Musicales de Rennes;Beck;;;1994-12-01;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;Los Angeles;;;;1988;1993.0
1995;17èmes Rencontres Trans Musicales de Rennes;Rico;;Quartiers en Trans;1995-12-02;La Bellangerais;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;;
1995;17èmes Rencontres Trans Musicales de Rennes;Jungle Hala;;Quartiers en Trans;1995-12-02;La Bellangerais;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;1993;1994.0
1995;17èmes Rencontres Trans Musicales de Rennes;HMC;Soirée Planète;;1995-12-02;Parc des Expositions - Techno Hall;Bruz;;;;;;;;;;;;;;;;;;;;;Australie;;;;Adelaïde;;;;;
1991;13èmes Rencontres Trans Musicales de Rennes;Bogeymen;;;1991-12-07;Le Satori;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Angoulême;;;;Début 1990's;1992.0
1992;14èmes Rencontres Trans Musicales de Rennes;The Pale;;;1992-12-03;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Irlande;;;;Dublin;;;;1990;1992.0
1991;13èmes Rencontres Trans Musicales de Rennes;Betty Boop;;;1991-12-04;Le Satori;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Dijon;;;;1989;
1986;8èmes Rencontres Trans Musicales de Rennes;Washington Dead Cats;La Fiesta Berurière;;1986-12-14;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Paris;;;;1984;1986.0
1984;6èmes Rencontres Trans Musicales de Rennes;The Truth;;;1984-12-14;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;1982;1983.0
1980;2èmes Rencontres Trans Musicales de Rennes;Sax Pustuls;;;1980-12-17;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;1978;1981.0
1979;1ères  Rencontres Trans Musicales de Rennes;Fracture;;;1979-06-15;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;1977;1980.0
1981;3èmes Rencontres Trans Musicales de Rennes;Oenix;;;1981-12-16;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Rouen;;;;;1980.0
2017;39èmes Rencontres Trans Musicales de Rennes;Oki Dub Ainu Band;;;2017-12-08;Parc des Expositions - Hall 8;Bruz;;;;;;;;;;;;;;;;;;;;;Japon;;;;Kanagawa;Tokyo;;;2006 (années 1990 pour Oki Kano);
2017;39èmes Rencontres Trans Musicales de Rennes;Alluri;;;2017-12-07;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;Inde;Royaume-Uni;;;Hyderabad;;;;2014;
2017;39èmes Rencontres Trans Musicales de Rennes;El Leopardo;;;2017-12-07;Parc des Expositions - Green Room;Bruz;;;;;;;;;;;;;;;;;;;;;Colombie;;;;Bogota;;;;2015 pour ce projet solo (2006 au sein du groupe Systema Solar);
2017;39èmes Rencontres Trans Musicales de Rennes;Columbine;;;2017-12-07;Parc des Expositions - Hall 8;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;2014;
2018;40èmes Rencontres Trans Musicales de Rennes;Vurro;;;2018-12-07;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;Espagne;;;;Ávila;;;;2016;
