ANNÉE;EDITION RENCONTRES TRANS MUSICALES ;ARTISTES;NOM SPECTACLE OU SOIRÉE;1ER PROJET ATM;1ERE DATE;1ERE SALLE;1ERE VILLE;2EME PROJET;2EME DATE;2EME SALLE;2EME VILLE;3EME PROJET;3EME DATE;3EME SALLE;3EME VILLE;4EME PROJET;4EME DATE;4EME SALLE;4EME VILLE;5EME PROJET;5EME DATE;5EME SALLE;5EME VILLE;6EME PROJET;6EME DATE;6EME SALLE;6EME VILLE;ORIGINES PAYS 1;ORIGINES PAYS 2;ORIGINES PAYS 3;ORIGINES PAYS 4;ORIGINES VILLE 1;ORIGINES VILLE 2;ORIGINES VILLE 3;ORIGINES VILLE 4;ANNEE  DE FORMATION;1ère SORTIE DISCOGRAPHIQUE
2008;30èmes Rencontres Trans Musicales de Rennes;Filthy Dukes;;;2008-12-05;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;2005;2007.0
1996;18èmes Rencontres Trans Musicales de Rennes;Sven Löve;Soirée Zone France;;1996-12-06;L'Espace;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Paris;;;;1993;1997.0
1995;17èmes Rencontres Trans Musicales de Rennes;Boplicity;;Quartiers en Trans;1995-11-30;Ferme de la Harpe;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;;
1995;17èmes Rencontres Trans Musicales de Rennes;DJ Morpheus;;;1995-11-30;Salle Omnisports;Rennes;;;;;;;;;;;;;;;;;;;;;Belgique;;;;;;;;1994;
1995;17èmes Rencontres Trans Musicales de Rennes;Fumiya Tanaka;Soirée Planète;;1995-12-02;Parc des Expositions - Techno Hall;Bruz;;;;;;;;;;;;;;;;;;;;;Japon;;;;Tokyo;;;;Début 1990's;
1995;17èmes Rencontres Trans Musicales de Rennes;Green Velvet;Soirée Planète;;1995-12-02;Parc des Expositions - House Hall;Bruz;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;Chicago;;;;1993;
1995;17èmes Rencontres Trans Musicales de Rennes;HB2;;Quartiers en Trans;1995-12-01;Centre Culturel Le Triangle;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Nantes;;;;;
1994;16èmes Rencontres Trans Musicales de Rennes;DJ Doc Martin;Ethniks 2 Techniks;;1994-12-03;Salle Omnisports;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;San Francisco;;;;1986;1996.0
1994;16èmes Rencontres Trans Musicales de Rennes;Vic Chesnutt;;;1994-12-01;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;Georgie;;;;1985;1990.0
1993;15èmes Rencontres Trans Musicales de Rennes;Björk;;;1993-12-01;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Islande;;;;Reykjavik;;;;1977;1991.0
